,ASX code,Company name,Security type,ISIN code,hashtags,cashtags
196,AUR,AURIS MINERALS LTD,ORDINARY FULLY PAID,AU000000AUR5,#AUR,$AUR
197,AZJ,AURIZON HOLDINGS LTD,ORDINARY FULLY PAID,AU000000AZJ1,#AZJ,$AZJ
198,AOU,AUROCH MINERALS LTD,ORDINARY FULLY PAID,AU000000AOU2,#AOU,$AOU
199,A3D,AURORA LABS LIMITED,ORDINARY FULLY PAID,AU000000A3D7,#A3D,$A3D
200,AUN,AURUMIN,ORDINARY FULLY PAID,AU0000110850,#AUN,$AUN
201,AUE,AURUMRESOURCES,ORDINARY FULLY PAID,AU0000173478,#AUE,$AUE
202,ANW,AUS TIN MINING,ORDINARY FULLY PAID,AU000000ANW0,#ANW,$ANW
203,AC8,AUSCANN GRP HLGS LTD,ORDINARY FULLY PAID,AU000000AC89,#AC8,$AC8
204,AUC,AUSGOLD LIMITED,ORDINARY FULLY PAID,AU000000AUC7,#AUC,$AUC
205,AOA,AUSMON RESORCES,ORDINARY FULLY PAID,AU000000AOA4,#AOA,$AOA
206,AOAAQ,AUSMON RESORCES,ORDINARY FULLY PAID,AU0000AOAAQ8,#AOAAQ,$AOAAQ
207,AST,AUSNET SERVICES LTD,ORDINARY FULLY PAID,AU000000AST5,#AST,$AST
208,AQC,AUSPACCOAL LTD,ORDINARY FULLY PAID,AU000000AQC5,#AQC,$AQC
209,AQD,AUSQUEST LIMITED,ORDINARY FULLY PAID,AU000000AQD3,#AQD,$AQD
210,ABB,AUSSIE BROADBAND,ORDINARY FULLY PAID,AU0000106643,#ABB,$ABB
211,ASM,AUSSTRATMATERIALS,ORDINARY FULLY PAID,AU0000094153,#ASM,$ASM
212,ABX,AUST BAUXITE LTD.,ORDINARY FULLY PAID,AU000000ABX3,#ABX,$ABX
213,AFG,AUST FINANCE GRP,ORDINARY FULLY PAID,AU000000AFG9,#AFG,$AFG
214,APC,AUST POTASH LTD,ORDINARY FULLY PAID,AU000000APC7,#APC,$APC
215,AVL,AUST VANADIUM LTD,ORDINARY FULLY PAID,AU000000AVL6,#AVL,$AVL
216,AVG,AUST VINTAGE LTD,ORDINARY FULLY PAID,AU000000AVG6,#AVG,$AVG
217,ASB,AUSTAL LIMITED,ORDINARY FULLY PAID,AU000000ASB3,#ASB,$ASB
218,AUL,AUSTAR GOLD LTD,ORDINARY FULLY PAID,AU000000AUL8,#AUL,$AUL
219,AUH,AUSTCHINA HOLDINGS,ORDINARY FULLY PAID,AU000000AUH6,#AUH,$AUH
220,AHC,AUSTCO HEALTHCARE,ORDINARY FULLY PAID,AU0000120818,#AHC,$AHC
221,ANG,AUSTIN ENGINEERING,ORDINARY FULLY PAID,AU000000ANG3,#ANG,$ANG
222,APG,AUSTPAC RESOURCES NL,ORDINARY FULLY PAID,AU000000APG8,#APG,$APG
223,AGD,AUSTRAL GOLD,ORDINARY FULLY PAID,AU000000AGD4,#AGD,$AGD
224,A8G,AUSTRALASIAN GOLD,ORDINARY FULLY PAID,AU0000141137,#A8G,$A8G
225,AYM,AUSTRALIA UNITED MIN,ORDINARY FULLY PAID,AU000000AYM8,#AYM,$AYM
226,AAP,AUSTRALIAN AGRI LTD,ORDINARY FULLY PAID,AU000000AAP1,#AAP,$AAP
227,AAC,AUSTRALIAN AGRICULT.,ORDINARY FULLY PAID,AU000000AAC9,#AAC,$AAC
228,AEF,AUSTRALIAN ETHICAL,ORDINARY FULLY PAID,AU000000AEF4,#AEF,$AEF
229,AFI,AUSTRALIAN FOUNDAT.,ORDINARY FULLY PAID,AU000000AFI5,#AFI,$AFI
230,AUZ,AUSTRALIAN MINES LTD,ORDINARY FULLY PAID,AU000000AUZ8,#AUZ,$AUZ
231,API,AUSTRALIAN PHARM.,ORDINARY FULLY PAID,AU000000API4,#API,$API
232,ASQ,AUSTRALIAN SILICA,ORDINARY FULLY PAID,AU0000066169,#ASQ,$ASQ
233,AUI,AUSTRALIAN UNITED IN,ORDINARY FULLY PAID,AU000000AUI4,#AUI,$AUI
234,ATS,AUSTRALIS OIL & GAS,ORDINARY FULLY PAID,AU000000ATS5,#ATS,$ATS
235,AR1,AUSTRALRESOURCES,ORDINARY FULLY PAID,AU0000175838,#AR1,$AR1
236,AR3,AUSTRARE,ORDINARY FULLY PAID,AU0000154684,#AR3,$AR3
237,ABA,AUSWIDE BANK LTD,ORDINARY FULLY PAID,AU000000ABA1,#ABA,$ABA
238,AUT,AUTECO MINERALS,ORDINARY FULLY PAID,AU0000031734,#AUT,$AUT
239,AIY,AUTHORISED INVEST.,ORDINARY FULLY PAID,AU000000AIY6,#AIY,$AIY
240,ASG,AUTOSPORTS GRP LTD.,ORDINARY FULLY PAID,AU000000ASG2,#ASG,$ASG
241,AVA,AVA RISK GROUP LTD,ORDINARY FULLY PAID,AU0000010845,#AVA,$AVA
242,AVE,AVECHO BIOTECH LTD,ORDINARY FULLY PAID,AU0000047441,#AVE,$AVE
243,AEV,AVENIRA LIMITED,ORDINARY FULLY PAID,AU000000AEV1,#AEV,$AEV
244,AVW,AVIRA RESOURCES LTD,ORDINARY FULLY PAID,AU000000AVW3,#AVW,$AVW
245,AVJ,AVJENNINGS LIMITED,ORDINARY FULLY PAID,AU000000AVJ0,#AVJ,$AVJ
246,AVZ,AVZ MINERALS LTD,ORDINARY FULLY PAID,AU000000AVZ6,#AVZ,$AVZ
